acquisitionInformation.acquisitionParameters.acquisitionSystemName	acquisitionInformation.acquisitionParameters.acquisitionSystemType	acquisitionInformation.acquisitionParameters.antennaToSource_inMeters	acquisitionInformation.acquisitionParameters.cableLength_inMeters	acquisitionInformation.acquisitionParameters.cableReceiverDepthRecorded	acquisitionInformation.acquisitionParameters.cableReceiverDepth_inMeters	acquisitionInformation.acquisitionParameters.channelLength_inMeters	acquisitionInformation.acquisitionParameters.compassBirds	acquisitionInformation.acquisitionParameters.nearChannelNumber	acquisitionInformation.acquisitionParameters.numberOfCables	acquisitionInformation.acquisitionParameters.numberOfChannelsEachCable	acquisitionInformation.acquisitionParameters.numberOfChannelsRecorded	acquisitionInformation.acquisitionParameters.receiverType	acquisitionInformation.acquisitionParameters.recordLength_inSeconds	acquisitionInformation.acquisitionParameters.sampleInterval_inMicroseconds	acquisitionInformation.acquisitionParameters.seismicNavSystem	acquisitionInformation.acquisitionParameters.shotControl	acquisitionInformation.acquisitionParameters.shotInterval_inSecondsOrMeters	acquisitionInformation.acquisitionParameters.sourceArraySeparation_inMeters	acquisitionInformation.acquisitionParameters.sourceDepth_inMeters	acquisitionInformation.acquisitionParameters.sourceNumber	acquisitionInformation.acquisitionParameters.sourcePressure_inBars	acquisitionInformation.acquisitionParameters.sourceToNearChannel_inMeters	acquisitionInformation.acquisitionParameters.sourceType	acquisitionInformation.acquisitionParameters.sourceVolume	acquisitionInformation.acquisitionParameters.sourceVolumeUnits	acquisitionInformation.acquisitionParameters.tailBuoyPositioning	acquisitionInformation.platformInformation.platform	acquisitionInformation.platformInformation.platformOrganization	acquisitionInformation.seismicNavFile.dataFileFormat	acquisitionInformation.seismicNavFile.offsetsApplied	acquisitionInformation.seismicNavFile.surveyDatum	datasetInformation.boundingCoordinates.eastLong	datasetInformation.boundingCoordinates.northLat	datasetInformation.boundingCoordinates.southLat	datasetInformation.boundingCoordinates.westLong	datasetInformation.dataClass	datasetInformation.dataContact.contactInformation.email	datasetInformation.dataContact.contactInformation.name	datasetInformation.dataContact.contactInformation.organization	datasetInformation.dataContact.contactInformation.role	datasetInformation.dataMedia	datasetInformation.dataType	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.email	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.name	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.organization	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.role	datasetInformation.datasetAccessControl.accessControl.accessReleaseDate	datasetInformation.datasetAccessControl.accessControl.accessState	datasetInformation.datasetContentLink	datasetInformation.datasetDescription	datasetInformation.datasetID	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.email	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.name	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.organization	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.role	datasetInformation.datasetProcessing.processingParameters.processingScope	datasetInformation.datasetProcessing.processingParameters.processingStep	datasetInformation.datasetProcessing.processingParameters.processingStepDate	datasetInformation.datasetQualityDescription	datasetInformation.datasetSize	datasetInformation.datasetStartDate.date	datasetInformation.datasetStartDate.dateTypeCode	datasetInformation.datasetTitle	datasetInformation.datasetZipLink	datasetInformation.documentation.citationInformation.author	datasetInformation.documentation.citationInformation.citationDate.date	datasetInformation.documentation.citationInformation.citationDate.dateTypeCode	datasetInformation.documentation.citationInformation.doi	datasetInformation.documentation.citationInformation.journalName	datasetInformation.documentation.citationInformation.onlineLinkage	datasetInformation.documentation.citationInformation.page	datasetInformation.documentation.citationInformation.title	datasetInformation.documentation.citationInformation.volume	datasetInformation.geographicFeatures.featureName	datasetInformation.processedDataClass	datasetInformation.processedMethod	datasetInformation.purpose	datasetInformation.resourceProvider.contactInformation.email	datasetInformation.resourceProvider.contactInformation.name	datasetInformation.resourceProvider.contactInformation.organization	datasetInformation.resourceProvider.contactInformation.role	datasetInformation.seismicDataProvenance	datasetInformation.supplementalInformation	datasetInformation.temporalExtent.endDate	datasetInformation.temporalExtent.startDate	metadataInformation.dateOfSubmission	metadataInformation.metadataContact.contactInformation.email	metadataInformation.metadataContact.contactInformation.name	metadataInformation.metadataContact.contactInformation.organization	metadataInformation.metadataContact.contactInformation.role	metadataInformation.metadataDate	metadataInformation.metadataStandard
	digital											Sonar_CHIRP											Sonar_CHIRP						CSV	no	WGS84	-117.17398	32.72448	32.67920	-117.23682	processed	rsliter@usgs.gov	Ray Sliter	U.S. Geological Survey	custodian	Online	Seismic:Active:MCS	rsliter@usgs.gov	Ray Sliter	U.S. Geological Survey	custodian	2021-03-23	open	https://walrus.wr.usgs.gov/namss/survey/s-03-11-sc/dataset/	Unspecified	namss.S-03-11-SC.scs.chirp.zip					dataset	Unspecified		Unspecified	38.5 MB	2011-11-16	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2011/namss.S-03-11-SC.scs.chirp.zip										Port of San Diego	Migration:3D	Seismic:Reflection		matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired		2011-12-21	2011-11-16	2021-03-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2021-03-26	Seismic Metadata v.1
	digital											Sonar_CHIRP											Sonar_CHIRP						CSV	no	WGS84	-117.13444	32.70089	32.67637	-117.17441	processed	rsliter@usgs.gov	Ray Sliter	U.S. Geological Survey	custodian	Online	Seismic:Active:MCS	rsliter@usgs.gov	Ray Sliter	U.S. Geological Survey	custodian	2021-03-25	open	https://walrus.wr.usgs.gov/namss/survey/s-03-13-sc/dataset/	Chirp data was collected in San Diego Bay to characterize very shallow sub-surface stratigraphy and investigate faulting beneath San Diego Bay.	namss.S-03-13-SC.scs.chirp.zip					dataset	Unspecified		Unspecified	570.9 MB	2013-02-04	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2013/namss.S-03-13-SC.scs.chirp.zip										Port of San Diego		Seismic:Reflection		matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired		2013-02-14	2013-02-04	2021-03-25	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2021-03-26	Seismic Metadata v.1
	digital											Sonar_CHIRP											Sonar_CHIRP						CSV	no	WGS84	-117.11517	32.66478	32.63650	-117.15100	processed	rsliter@usgs.gov	Ray Sliter	U.S. Geological Survey	custodian	Online	Seismic:Active:MCS	rsliter@usgs.gov	Ray Sliter	U.S. Geological Survey	custodian	2021-03-25	open	https://walrus.wr.usgs.gov/namss/survey/s-03-19-sc/dataset/	Chirp data was collected in San Diego Bay to characterize very shallow sub-surface stratigraphy and investigate faulting beneath San Diego Bay.	namss.S-03-19-SC.scs.chirp.zip					dataset	Unspecified		Unspecified	340.0 MB	2019-01-21	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2019/namss.S-03-19-SC.scs.chirp.zip										Port of San Diego		Seismic:Reflection		matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired		2019-01-21	2019-01-21	2021-03-25	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2021-03-26	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Sparker						CSV	no	WGS84	-70.75371	40.02869	39.13565	-72.13593	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2020-10-21	open	https://walrus.wr.usgs.gov/namss/survey/t-03-11-at/dataset/	Unspecified	namss.T-03-11-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	4.7 GB	2011-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2011/namss.T-03-11-AT.mcs.airgun.zip										Atlantic Ocean	Migration, Stack	Seismic:Reflection		matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	Data acquisition and processing of this survey were funded by the U.S. Nuclear Regulatory Commission under Job V6166: Tsunami Landslide Source Probability and Potential Impact on New and Existing Power Plants.	2011-01-01	2011-01-01	2020-10-21	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2020-10-27	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Sparker						CSV	no	WGS84	-74.33366	36.92747	36.12804	-74.90127	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2020-10-21	open	https://walrus.wr.usgs.gov/namss/survey/t-06-12-at/dataset/	Unspecified	namss.T-06-12-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.2 GB	2012-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2012/namss.T-06-12-AT.mcs.airgun.zip										Atlantic Ocean	Migration, Stack	Seismic:Reflection		matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	Data acquisition and processing of this survey were funded by the U.S. Nuclear Regulatory Commission under Job V6166: Tsunami Landslide Source Probability and Potential Impact on New and Existing Power Plants.	2012-01-01	2012-01-01	2020-10-21	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2020-10-27	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Sparker						CSV	no	WGS84	-70.63765	40.00885	39.05348	-72.28244	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2020-01-01	open	https://walrus.wr.usgs.gov/namss/survey/t-21-10-at/dataset/	Unspecified	namss.T-21-10-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.5 GB	2010-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2010/namss.T-21-10-AT.mcs.airgun.zip										Atlantic Ocean	Migration, Stack	Seismic:Reflection		matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	Data acquisition and processing of this survey were funded by the U.S. Nuclear Regulatory Commission under Job V6166: Tsunami Landslide Source Probability and Potential Impact on New and Existing Power Plants.	2010-01-01	2010-01-01	2020-10-20	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2020-10-27	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Sparker						CSV	no	WGS84	-74.38782	36.53723	36.10000	-75.05248	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2020-10-21	open	https://walrus.wr.usgs.gov/namss/survey/t-39-12-at/dataset/	Unspecified	namss.T-39-12-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.3 GB	2012-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2012/namss.T-39-12-AT.mcs.airgun.zip										Atlantic Ocean	Migration, Stack	Seismic:Reflection		matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	Data acquisition and processing of this survey were funded by the U.S. Nuclear Regulatory Commission under Job V6166: Tsunami Landslide Source Probability and Potential Impact on New and Existing Power Plants.	2012-01-01	2012-01-01	2020-10-21	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2020-10-27	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Sparker						410	no	NAD83	-118.93218	38.06181	37.94785	-119.14405	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2021-01-13	open	https://walrus.wr.usgs.gov/namss/survey/v-1-09-ca/dataset/	Unspecified	namss.V-1-09-CA.mcs3d.airgun.zip					dataset	Unspecified		Unspecified	2.5 GB	2009-08-28	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2009/namss.V-1-09-CA.mcs3d.airgun.zip	A.S. Jayko, P.E. Hart, J.R. Childs, M.H. Cormier, D.A.Ponce, N.D. Athens, and J.S. McClain	2013-05-09	published		U.S. Geological Survey	https://pubs.usgs.gov/of/2013/1113/of2013-1113.pdf		Methods and Spatial Extent of Geophysical Investigations, Mono Lake, California, 2009 to 2011		Mono Lake	Migration:3D	Seismic:Reflection		matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired		2009-09-05	2009-08-28	2021-01-13	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2021-01-13	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Sparker						410	no	NAD83	-118.93405	38.07081	37.94934	-119.14455	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2021-01-01	open	https://walrus.wr.usgs.gov/namss/survey/v-1-11-ca/dataset/	Unspecified	namss.V-1-11-CA.mcs3d.airgun.zip					dataset	Unspecified		Unspecified	2.2 GB	2011-09-07	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2011/namss.V-1-11-CA.mcs3d.airgun.zip	A.S. Jayko, P.E. Hart, J.R. Childs, M.H. Cormier, D.A.Ponce, N.D. Athens, and J.S. McClain	2013-05-09	published		U.S. Geological Survey	https://pubs.usgs.gov/of/2013/1113/of2013-1113.pdf		Methods and Spatial Extent of Geophysical Investigations, Mono Lake, California, 2009 to 2011		Mono Lake	Migration:3D	Seismic:Reflection		matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired		2011-09-15	2011-09-07	2021-01-13	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2021-01-13	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						CSV	no	WGS84	-79.93175	25.86431	25.42524	-80.40341	processed	jdixon@usgs.gov	Joann Dixon	U.S. Geological Survey	originator	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2020-11-06	open	https://walrus.wr.usgs.gov/namss/survey/w-1-11-fl/dataset/	Unspecified	namss.W-1-11-FL.mcs.airgun.zip					dataset	Unspecified		Unspecified	87.3 MB	2011-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2011/namss.W-1-11-FL.mcs.airgun.zip										Florida	Stack	Seismic:Reflection		kcunning@usgs.gov	Kevin J. Cunningham	U.S. Geological Survey	principalInvestigator	DigitalSeg:DigitallyAcquired		2011-01-01	2011-01-01	2020-11-06	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2020-11-30	Seismic Metadata v.1
	digital											Other											Other						CSV	no	WGS84	-80.38083	25.70138	25.56379	-80.40341	processed	jdixon@usgs.gov	Joann Dixon	U.S. Geological Survey	originator	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2020-11-06	open	https://walrus.wr.usgs.gov/namss/survey/w-1-15-fl/dataset/	Unspecified	namss.W-1-15-FL.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.9 MB	2015-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2015/namss.W-1-15-FL.mcs.airgun.zip										Florida	Stack	Seismic:Reflection		kcunning@usgs.gov	Kevin J. Cunningham	U.S. Geological Survey	principalInvestigator	DigitalSeg:DigitallyAcquired		2015-01-01	2015-01-01	2020-11-06	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2020-11-30	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-138.96664	60.09297	59.22741	-143.14019	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1968-09-30	open	https://walrus.wr.usgs.gov/namss/survey/w-1-68-eg/dataset/	Unspecified	namss.W-1-68-EG.mcs.airgun.zip					dataset	Unspecified		Unspecified	16.3 MB	1968-07-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1968/namss.W-1-68-EG.mcs.airgun.zip										Eastern Gulf of Alaska	Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1968-09-30	1968-07-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2019-08-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-117.87323	33.99980	32.49463	-120.40069	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1970-12-31	open	https://walrus.wr.usgs.gov/namss/survey/w-1-70-sc/dataset/	Unspecified	namss.W-1-70-SC.mcs.airgun.zip					dataset	Unspecified		Unspecified	44.3 MB	1969-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1970/namss.W-1-70-SC.mcs.airgun.zip										Southern California	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1970-12-31	1969-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2019-08-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						410	undocumented	NAD27	-68.67447	12.17086	11.71975	-69.38500	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1979-12-31	open	https://walrus.wr.usgs.gov/namss/survey/w-1-79-cb/dataset/	Unspecified	namss.W-1-79-CB.mcs.airgun.zip					dataset	Unspecified		Unspecified	106.3 MB	1979-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1979/namss.W-1-79-CB.mcs.airgun.zip										Caribbean Sea	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1979-12-31	1979-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-89.09389	17.68325	15.74014	-90.68228	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1981-12-31	open	https://walrus.wr.usgs.gov/namss/survey/w-1-81-gt/dataset/	Unspecified	namss.W-1-81-GT.mcs.airgun.zip					dataset	Unspecified		Unspecified	49.3 MB	1981-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1981/namss.W-1-81-GT.mcs.airgun.zip										Guatemala	Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1981-12-31	1981-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-161.92818	70.26670	68.53297	-163.75607	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1971-05-31	open	https://walrus.wr.usgs.gov/namss/survey/w-10-70-ak/dataset/	Unspecified	namss.W-10-70-AK.mcs.airgun.zip					dataset	Unspecified		Unspecified	123.7 MB	1970-11-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1970/namss.W-10-70-AK.mcs.airgun.zip										North Slope	Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1971-05-31	1970-11-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-120.69612	36.27470	34.47746	-122.16760	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1978-10-31	open	https://walrus.wr.usgs.gov/namss/survey/w-10-78-sc/dataset/	Unspecified	namss.W-10-78-SC.mcs.airgun.zip					dataset	Unspecified		Unspecified	224.2 MB	1978-10-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1978/namss.W-10-78-SC.mcs.airgun.zip										Southern California	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1978-10-31	1978-10-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-159.41373	63.29498	58.11040	-167.95017	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1979-09-30	open	https://walrus.wr.usgs.gov/namss/survey/w-10-79-bs/dataset/	Unspecified	namss.W-10-79-BS.mcs.airgun.zip					dataset	Unspecified		Unspecified	681.3 MB	1979-09-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1979/namss.W-10-79-BS.mcs.airgun.zip										Bering Sea	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1979-09-30	1979-09-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						410	undocumented	NAD27	-165.27712	63.65835	55.32143	-181.45198	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1977-01-31	open	https://walrus.wr.usgs.gov/namss/survey/w-11-74-bs/dataset/	Unspecified	namss.W-11-74-BS.mcs.airgun.zip					dataset	Unspecified		Unspecified	5.6 GB	1974-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1974/namss.W-11-74-BS.mcs.airgun.zip										Bering Sea	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1977-01-31	1974-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-120.45413	34.66521	34.12973	-121.04610	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1976-08-31	open	https://walrus.wr.usgs.gov/namss/survey/w-12-76-sc/dataset/	Unspecified	namss.W-12-76-SC.mcs.airgun.zip					dataset	Unspecified		Unspecified	268.7 MB	1976-07-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1976/namss.W-12-76-SC.mcs.airgun.zip										Southern California	Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1976-08-31	1976-07-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						410	undocumented	NAD27	-138.45803	59.95779	58.02329	-142.44327	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1979-07-31	open	https://walrus.wr.usgs.gov/namss/survey/w-12-79-eg/dataset/	Unspecified	namss.W-12-79-EG.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.6 GB	1979-06-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1979/namss.W-12-79-EG.mcs.airgun.zip										Gulf of Alaska	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1979-07-31	1979-06-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-119.70635	34.56503	34.07036	-120.95725	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1977-03-31	open	https://walrus.wr.usgs.gov/namss/survey/w-13-77-sc/dataset/	Unspecified	namss.W-13-77-SC.mcs.airgun.zip					dataset	Unspecified		Unspecified	268.5 MB	1977-02-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.W-13-77-SC.mcs.airgun.zip										Southern California	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1977-03-31	1977-02-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	yes	NAD27	-150.54373	70.91117	70.48840	-152.36619	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1979-08-31	open	https://walrus.wr.usgs.gov/namss/survey/w-13-79-ar/dataset/	Unspecified	namss.W-13-79-AR.mcs.airgun.zip					dataset	Unspecified		Unspecified	129.1 MB	1979-08-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1979/namss.W-13-79-AR.mcs.airgun.zip										Beaufort Sea	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1979-08-31	1979-08-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
